Name,lon,lat,District,District_c,Gr_ml_cm,Ho_size_r,Ho_size_u,Mg_fl_cl,Pop_2001,Pop_2011,Pop_2013,Pop_g_r,Pop_g_u,Population,Source,State,State_code,Township,Township_c,Village,Village_co,Village_fa,Village_hh,Village_po,Villagetra,Vt_code,Vt_hh,Vt_pop
Yankuli,98.4868088,23.4928588,Kum Lone,1504,20,6.98,5.59,1.14,384,424,,0.0066,0.0114,424,DRD,Shan (North),15,Kum Lone,150416,Yankuli,15041614002,,44,384,Tarshwehtan,,565,6602
Taung Lay,96.83298,20.0175,Taunggyi,1601,19,6.05,5.46,1,550,607,,0.0066,0.0114,607,DRD,Shan (South),16,Pin Laung,160108,Taung Lay,16010811003,95,95,550,Lane Nyar,16010811,924,5347
Konsan,96.50125943,22.96585268,NULL,NULL,19,5.71,5.27,1,267,318,,0.0117,0.012,318,DRD,Mandalay,1,Magoke,NULL,Konsan,1010201202,NULL,50,267,Kyauk-ta-lon,10103025,NULL,NULL
Manpyine,97.8150259,23.442047,Mu Se,1502,20,6.98,5.59,1.14,247,273,,0.0066,0.0114,273,DRD,Shan (North),15,Kaut Khine,150215,Manpyine,15021517002,30,30,247,Manku,15021517,235,1775
Tahungmaru,98.739852,23.4790146,Kum Lone,1504,20,6.98,5.59,1.14,237,262,,0.0066,0.0114,262,DRD,Shan (North),15,Kum Lone,150416,Tahungmaru,15041609001,,33,237,Tarhonemashoe,,255,2318
Lone Tar,97.3082648,20.5377925,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Lone Tar,16010403005,0,0,0,Nar Than,,0,0
Ma-an-khan,100.139255,20.7273666,Tachileik,1704,20,5.44,5.2,1.14,468,516,,0.0066,0.0114,516,DRD,Shan (East),17,Tarlay,170414,Ma-an-khan,17041402001,79,84,468,Monglin(west),17041402,571,2831
Oi-lawmanhwe,97.7534646,23.8284792,Muse,1502,20,6.98,5.59,1.14,106,117,,0.0066,0.0114,117,DRD,Shan (North),15,Namkham,150213,Oi-lawmanhwe,15021315002,,23,106,Oi-lawmansam,,51,422
Yedwingyi,96.194943,20.921851,Makehtila,104,19,5.71,5.27,1,405,482,,0.0117,0.012,482,DRD,Mandalay,1,Thazi,10402,Yedwingyi,1040206903,60,60,405,Oktwin,10402069,657,4434
Wam Tawk,97.5255255,21.2673883,Taunggyi,1601,19,6.05,5.46,1,258,285,,0.0066,0.0114,285,DRD,Shan (South),16,Lae Char,160206,Wam Tawk,16020619003,44,44,258,Pan Tan,16020619,472,2931
Seingon,96.22124719,22.93757703,NULL,NULL,19,5.71,5.27,1,679,808,,0.0117,0.012,808,DRD,Mandalay,1,Magoke,NULL,Seingon,1010200404,NULL,143,679,Shwe-nyaung-pin,10103008,NULL,NULL
Man yawn,96.8875108,23.2657861,Kyaukme,1503,20,6.98,5.59,1.14,261,288,,0.0066,0.0114,288,DRD,Shan (North),15,Momeik,150310,Man yawn,15031027001,,46,261,Man yawn,15031027,109,647
Nakyeng,97.7911337,23.2496913,Lashio,1501,20,6.98,5.59,1.14,169,186,,0.0066,0.0114,186,DRD,Shan (North),15,Theinni,150102,Nakyeng,15010214002,32,26,169,Kawngai,15010214,82,457
na hsai taung,97.7119312,20.2517294,Loilem,1602,19,6.05,5.46,1,187,206,,0.0066,0.0114,206,DRD,Shan (South),16,Maukmal,160204,na hsai taung,16020405001,30,30,187,sink sai,16020405,112,712
Mouk Sa Le,97.7128955,21.165605,Taunggyi,1601,19,6.05,5.46,1,106,117,,0.0066,0.0114,117,DRD,Shan (South),16,Lae Char,160206,Mouk Sa Le,16020609012,20,20,106,Nar Ma n,16020609,523,2945
Panmu,99.5384833,21.4123694,kyaington,1701,20,5.44,5.2,1.14,59,65,,0.0066,0.0114,65,DRD,Shan (East),17,kyaington,170101,Panmu,17010103005,14,14,59,Panmat,17010103,379,1823
Nawng Hpar,98.51278,22.60433,Lashio,MMR015D001,,,,,,366,373,,,366,GAD+MIMU,Shan (North),MMR015,Tangyan,MMR015004,Nawng Hpar,206739,,93,373,Nawng Hpar,MMR015004016,,
Mahlainggon,96.5614551,23.4012577,kyaukme,1503,20,6.98,5.59,1.14,789,871,,0.0066,0.0114,871,DRD,Shan (North),15,Mabaine,150311,Mahlainggon,15031103001,,186,789,mahlaingkone,,231,979
Mathe,96.253245,21.374293,Kyaukse,103,19,5.71,5.27,1,139,165,,0.0117,0.012,165,DRD,Mandalay,1,Myitthar,10303,Mathe,1030305301,0,0,139, ,10303053,0,0
Panghangyi,97.5386385,23.6004899,Muse,1502,20,6.98,5.59,1.14,577,637,,0.0066,0.0114,637,DRD,Shan (North),15,Namkham,150213,Panghangyi,15021340007,,86,577,Se-no(loi),,27,249
Loi Ping,97.33902,23.34579,Kyaukme,MMR015D003,,,,,,428,436,,,428,MIMU+GAD,Shan (North),MMR015,Manton,MMR015019,Loi Ping,210909,,40,436,Loi Kyu,MMR015019007,,
Li-lu,97.3071136,22.8578057,Kyaukme,1503,20,6.98,5.59,1.14,282,311,,0.0066,0.0114,311,DRD,Shan (North),15,Nam san,150309,Li-lu,15030918001,,67,282,Lelyu,,116,544
Wanhwet,99.60546,21.69228,Kyaington,1701,20,5.44,5.2,1.14,37,41,,0.0066,0.0114,41,DRD,Shan (East),17,Mongket,170102,Wanhwet,17010206003,9,5,37,Wan-Naung-lone,17010206,72,478
Man Hat,97.9812153,22.6744282,Lashio,1501,20,6.98,5.59,1.14,189,209,,0.0066,0.0114,209,DRD,Shan (North),15,Mongyai,150104,Man Hat,15010406007,,33,189,Manpunghtun,15010406,391,2043
Mway Taw,97.1654344,20.2188665,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Mway Taw,16010410010,0,0,0,Kone Sook,,0,0
Pinsai(shan),99.6388689,21.2389509,kyaington,1701,20,5.44,5.2,1.14,113,125,,0.0066,0.0114,125,DRD,Shan (East),17,kyaington,170101,Pinsai(shan),17010120017,25,25,113,Mong sem,17010120,1636,7947
Pan Yin,97.2668698,20.9848421,Taunggyi,1601,19,6.05,5.46,1,152,168,,0.0066,0.0114,168,DRD,Shan (South),16,Hopong,160110,Pan Yin,16011006011,22,18,152,Mine Pyin,16011006,614,4331
Pan Oo (Pan Aung),97.2064977,20.2000534,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Pan Oo (Pan Aung),16010408014,0,0,0,Pin Son,,0,0
Taptu,98.6024173,23.2765461,Kum Lone,1504,20,6.98,5.59,1.14,358,395,,0.0066,0.0114,395,DRD,Shan (North),15,Kum Lone,150416,Taptu,15041622008,,29,358,WAsoat,,157,1472
Na Nio,97.9153851,22.4686989,Lashio,1501,20,6.98,5.59,1.14,94,104,,0.0066,0.0114,104,DRD,Shan (North),15,Mongyai,150104,Na Nio,15010411004,,12,94,Nam Hsum,15010411,105,929
Manna,98.7298736,23.2684115,Kunlong,1504,20,6.98,5.59,1.14,59,65,,0.0066,0.0114,65,DRD,Shan (North),15,Ho Pan,150417,Manna,15041711004,,14,59,Man Kawng(panglong),15041711,,
