Name,lon,lat,District,District_c,Gr_ml_cm,Ho_size_r,Ho_size_u,Mg_fl_cl,Pop_2001,Pop_2011,Pop_2013,Pop_g_r,Pop_g_u,Population,Source,State,State_code,Township,Township_c,Village,Village_co,Village_fa,Village_hh,Village_po,Villagetra,Vt_code,Vt_hh,Vt_pop
Namtaung,98.4602815,23.3324822,Kum Lone,1504,20,6.98,5.59,1.14,68,75,,0.0066,0.0114,75,DRD,Shan (North),15,Kum Lone,150416,Namtaung,15041615005,,9,68,Kanmain,,477,4413
Konepaw,96.6984742,20.587258,Taunggyi,1601,19,6.05,5.46,1,115,127,,0.0066,0.0114,127,DRD,Shan (South),16,Kalaw,160102,Konepaw,16010214010,26,26,115,,,515,2700
Hinkok,96.8200665,22.9562389,Kyaukme,1503,20,6.98,5.59,1.14,207,228,,0.0066,0.0114,228,DRD,Shan (North),15,Momeik,150310,Hinkok,15031020001,,37,207,Hinkok,15031020,37,207
Saingkong,97.8206448,23.9265701,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Saingkong,15021202004,,0,0,,,0,0
Pin Tha Pyay (West),96.86277,20.11407,Taunggyi,1601,19,6.05,5.46,1,300,331,,0.0066,0.0114,331,DRD,Shan (South),16,Pin Laung,160108,Pin Tha Pyay (West),16010805006,45,45,300,Hte Paung,16010805,623,1247
Man naung,98.3821615,23.0481591,Lashio,1501,20,6.98,5.59,1.14,400,441,,0.0066,0.0114,441,DRD,Shan (North),15,Lashio,150101,Man naung,15010163004,35,0,400,Loi-kham,,220,1020
Lanpan,96.9272581,20.3563571,Taunggyi,1601,19,6.05,5.46,1,95,105,,0.0066,0.0114,105,DRD,Shan (South),16,Nyaungshwe,160105,Lanpan,16010529016,20,15,95,Ponkmu,16010529,859,5179
Thit Say Pin,96.4579984,21.2281051,Taunggyi,1601,19,6.05,5.46,1,371,409,,0.0066,0.0114,409,DRD,Shan (South),16,YwaNgan,160109,Thit Say Pin,16010920002,64,64,371,Kyauk Ku Pyin,16010920,454,2574
Hway Hin,97.6061679,21.2546015,Taunggyi,1601,19,6.05,5.46,1,152,168,,0.0066,0.0114,168,DRD,Shan (South),16,Lae Char,160206,Hway Hin,16020615006,30,30,152,Nam Toke,16020615,403,2158
Lwe Tant,97.1661231,20.6749352,Taunggyi,1601,19,6.05,5.46,1,97,107,,0.0066,0.0114,107,DRD,Shan (South),16,Hopong,160110,Lwe Tant,16011011001,29,21,97,Kone Kyaing,16011011,869,3543
Henna,98.7372351,23.4277853,Kunlong,1504,20,6.98,5.59,1.14,419,462,,0.0066,0.0114,462,DRD,Shan (North),15,Ho Pan,150417,Henna,15041701002,,70,419,Mo_hwe,15041701,,
Lwe Pyar Taung,96.77283,20.14066,Taunggyi,1601,19,6.05,5.46,1,606,669,,0.0066,0.0114,669,DRD,Shan (South),16,Pin Laung,160108,Lwe Pyar Taung,16010801001,100,100,606,Pin Laung,16010801,506,2335
Ho Hpai,98.102737,21.3799633,Taunggyi,1601,19,6.05,5.46,1,408,450,,0.0066,0.0114,450,DRD,Shan (South),16,KyiThe,160211,Ho Hpai,16021128002,41,41,408,Wam Sein,16021128,544,5582
Lularout,96.9257345,20.3087449,Taunggyi,1601,19,6.05,5.46,1,200,221,,0.0066,0.0114,221,DRD,Shan (South),16,Nyaungshwe,160105,Lularout,16010529004,27,25,200,Ponkmu,16010529,859,5179
Ho Hko,98.1206973,21.764922,Taunggyi,1601,19,6.05,5.46,1,181,200,,0.0066,0.0114,200,DRD,Shan (South),16,KyiThe,160211,Ho Hko,16021115007,19,19,181,Wam Suck,16021115,243,2530
Pwabetsan,96.260131,21.387597,Kyaukse,103,19,5.71,5.27,1,795,947,,0.0117,0.012,947,DRD,Mandalay,1,Myitthar,10303,Pwabetsan,1030304102,0,0,795, ,10303041,0,0
Maylota,99.05768,21.73169,Kyaington,1701,20,5.44,5.2,1.14,48,53,,0.0066,0.0114,53,DRD,Shan (East),17,Mongket,170102,Maylota,17010211027,12,9,48,Pakhalone,17010211,254,1182
Man Haw(Kachin),98.1150332,23.9494053,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Man Haw(Kachin),15021233007,,0,0,,,0,0
Pathin,96.5446311,23.1240099,Kyaukme,1503,20,6.98,5.59,1.14,579,639,,0.0066,0.0114,639,DRD,Shan (North),15,Momeik,150310,Pathin,15031005001,,132,579,Pathin,15031005,546,2515
Nam-un,97.7190473,22.8416644,Lashio,1501,20,6.98,5.59,1.14,248,274,,0.0066,0.0114,274,DRD,Shan (North),15,Lashio,150101,Nam-un,15010128003,30,0,248,Man-kyeng,,133,874
Pang long,98.7868705,23.2488741,Kunlong,1504,20,6.98,5.59,1.14,330,364,,0.0066,0.0114,364,DRD,Shan (North),15,Ho Pan,150417,Pang long,15041703004,,57,330,Pangkaw,15041703,,
Saungkyae,97.6705504,20.510376,Loilem,1602,19,6.05,5.46,1,218,241,,0.0066,0.0114,241,DRD,Shan (South),16,moehnae,160203,Saungkyae,16020308001,13,13,218,Wanna,16020308,71,1104
KunKeng,97.632974,23.8316284,Muse,1502,20,6.98,5.59,1.14,608,671,,0.0066,0.0114,671,DRD,Shan (North),15,Namkham,150213,KunKeng,15021309002,,79,608,Manswan,,192,1265
Wan kong,98.330176,20.3262005,Loi Lem,1602,19,6.05,5.46,1,11,12,,0.0066,0.0114,12,DRD,Shan (South),16,Maing Pan,160209,Wan kong,16020903009,17,17,11,Namtung,16020903,432,3572
Man Namluk,98.3429131,23.0322083,Lashio,1501,20,6.98,5.59,1.14,220,243,,0.0066,0.0114,243,DRD,Shan (North),15,Lashio,150101,Man Namluk,15010162007,40,0,220,Mankat(Pharphant)_,,352,2074
Phakhaw 2,99.4615009,21.2088963,kyaington,1701,20,5.44,5.2,1.14,66,73,,0.0066,0.0114,73,DRD,Shan (East),17,kyaington,170101,Phakhaw 2,17010117018,11,11,66,Pankyu,17010117,715,3480
Man Kom,98.0548192,22.2380659,Lashio,1501,20,6.98,5.59,1.14,89,98,,0.0066,0.0114,98,DRD,Shan (North),15,Mongyai,150104,Man Kom,15010414008,,26,89,Man Pong,15010414,272,1279
Pin Moon Taung,96.78123,20.22854,Taunggyi,1601,19,6.05,5.46,1,358,395,,0.0066,0.0114,395,DRD,Shan (South),16,Pin Laung,160108,Pin Moon Taung,16010810002,66,66,358,Pin Moon,16010810,1055,5478
Loilao(pansay),97.6079642,23.7126833,Muse,1502,20,6.98,5.59,1.14,77,85,,0.0066,0.0114,85,DRD,Shan (North),15,Namkham,150213,Loilao(pansay),15021314008,,7,77,Kawngwaine,,197,183
Naung Hu,97.7152558,20.9248884,Loilem,1602,19,6.05,5.46,1,73,81,,0.0066,0.0114,81,DRD,Shan (South),16,NamSan,160202,Naung Hu,16020212013,12,12,73,Loi Yae,16020212,323,1845
Manmae,96.8686652,23.3257257,Kyaukme,1503,20,6.98,5.59,1.14,181,200,,0.0066,0.0114,200,DRD,Shan (North),15,Momeik,150310,Manmae,15031029003,,36,181,Haitang,15031029,151,750
Pangsemaine,97.1251114,22.9665543,Kyaukme,1503,20,6.98,5.59,1.14,677,747,,0.0066,0.0114,747,DRD,Shan (North),15,Nam san,150309,Pangsemaine,15030911003,,83,677,Kayarlam,,448,2617
Nam Lin,96.9261854,21.3097576,Taunggyi,1601,19,6.05,5.46,1,81,89,,0.0066,0.0114,89,DRD,Shan (South),16,Yarksaung,160107,Nam Lin,16010702007,22,20,81,Hway,16010702,596,3098
Moe Nhae Lai Kyar,96.7697123,20.4153469,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,Moe Nhae Lai Kyar,16011211025,18,18,,Lwe Maw,16011211,1370,7386
Hko Hkite,97.7538986,21.2967128,Taunggyi,1601,19,6.05,5.46,1,280,309,,0.0066,0.0114,309,DRD,Shan (South),16,Lae Char,160206,Hko Hkite,16020611002,43,42,280,Wam San,16020611,304,1893
NawngHseng,97.7063538,23.8929982,Muse,1502,20,6.98,5.59,1.14,367,405,,0.0066,0.0114,405,DRD,Shan (North),15,Namkham,150213,NawngHseng,15021306003,,45,367,Hathin,,112,613
Bomon,97.8162488,23.0991179,Lashio,1501,20,6.98,5.59,1.14,290,320,,0.0066,0.0114,320,DRD,Shan (North),15,Lashio,150101,Bomon,15010105002,15,0,290,Namtun,,164,2121
Hti Nae,97.4043666,20.098429,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Hti Nae,16010413007,0,0,0,Taung Shae,,0,0
Hywe-yone,99.8441385,20.4553404,Tachileik,1704,20,5.44,5.2,1.14,41,45,,0.0066,0.0114,45,DRD,Shan (East),17,Tachileik,170413,Hywe-yone,17041302010,12,10,41,Lwaltawkhan,17041302,506,2978
Mansan,97.548874,23.6187958,Muse,1502,20,6.98,5.59,1.14,357,394,,0.0066,0.0114,394,DRD,Shan (North),15,Namkham,150213,Mansan,15021336004,,61,357,Mong Wi,,302,2221
Naung Hkai,97.9314635,22.4212544,Lashio,1501,20,6.98,5.59,1.14,332,366,,0.0066,0.0114,366,DRD,Shan (North),15,Mongyai,150104,Naung Hkai,15010409003,,60,332,Man Sang,15010409,367,1811
Pingkwe,97.960062,22.6641439,Lashio,1501,20,6.98,5.59,1.14,352,388,,0.0066,0.0114,388,DRD,Shan (North),15,Mongyai,150104,Pingkwe,15010406002,,63,352,Manpunghtun,15010406,391,2043
Loi Mon Maing,97.6093007,20.9574173,Taunggyi,1602,19,6.05,5.46,1,845,932,,0.0066,0.0114,932,DRD,Shan (South),16,Loi Lem,160201,Loi Mon Maing,16020104007,130,130,845,Loi Lin Ashae,16020104,641,4320
Tongpan,97.0118607,22.7990268,Kyaukme,1503,20,6.98,5.59,1.14,821,906,,0.0066,0.0114,906,DRD,Shan (North),15,Kyaukme,150306,Tongpan,15030562005,,48,821,Manhkauk,,469,3589
Kanpyin,96.7714575,20.9519171,Taunggyi,1601,19,6.05,5.46,1,224,247,,0.0066,0.0114,247,DRD,Shan (South),16,Kalaw,160102,Kanpyin,16010223006,72,72,224,,16010223,1827,9637
Sai Lhan,98.5570374,21.7411264,Loi Lem,1602,19,6.05,5.46,1,276,305,,0.0066,0.0114,305,DRD,Shan (South),16,Mai Shue,160208,Sai Lhan,16020812001,27,21,276,Hway Hay,16020812,152,2124
Be Se Kone,96.8590791,19.4773968,Taunggyi,1601,19,6.05,5.46,1,83,92,,0.0066,0.0114,92,DRD,Shan (South),16,phekhon,160103,Be Se Kone,16010304009,19,15,83,Alai Ka Yan,16010304,674,4334
Man na,97.7749398,23.2974922,Mu Se,1502,20,6.98,5.59,1.14,120,132,,0.0066,0.0114,132,DRD,Shan (North),15,Kaut Khine,150215,Man na,15021518004,16,16,120,Nampu,15021518,166,1329
Hway Mong,97.4802283,21.0234159,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,Pinlone,,Hway Mong,16021202007,0,0,0,,,0,0
Hi Nar Lay,97.6367076,20.713487,Loilem,1602,19,6.05,5.46,1,508,561,,0.0066,0.0114,561,DRD,Shan (South),16,NamSan,160202,Hi Nar Lay,16020210006,74,74,508,Hi Nar Kyi,16020210,401,1565
Aryorday,99.9100078,21.1103972,kyaington,1701,20,5.44,5.2,1.14,175,193,,0.0066,0.0114,193,DRD,Shan (East),17,kyaington,170101,Aryorday,17010122003,35,35,175,Nantnenanlone,17010122,166,818
Nar Thon,96.9480498,21.089612,Taunggyi,1601,19,6.05,5.46,1,281,310,,0.0066,0.0114,310,DRD,Shan (South),16,Yarksaung,160107,Nar Thon,16010703022,46,35,281,Yam Twin / Ngar Kyaung,16010703,3545,20381
Namphan,99.098333,22.603056,,,20,6.98,5.59,1.14,60306,66549,,0.0066,0.0114,66549,DRD,Shan (North),15,,,,,,,,,,,
Hko Hai,97.721761,21.1451461,Taunggyi,1601,19,6.05,5.46,1,140,154,,0.0066,0.0114,154,DRD,Shan (South),16,Lae Char,160206,Hko Hai,16020609004,28,28,140,Nar Man,16020609,523,2945
Lwel'lone,98.8633959,21.2108518,Mongsek,1702,20,5.44,5.2,1.14,3700,4083,,0.0066,0.0114,4083,DRD,Shan (East),17,Mongpyin,170207,Lwel'lone,17020713001,820,820,3700,Lwel'lone,17020713,820,3700
Konesong,97.7950473,23.582735,Mu Se,1502,20,6.98,5.59,1.14,127,140,,0.0066,0.0114,140,DRD,Shan (North),15,Kaut Khine,150215,Konesong,15021528002,22,22,127,Minehu,15021528,339,2273
Par Lain,98.1125004,22.0128414,Taunggyi,1601,19,6.05,5.46,1,165,182,,0.0066,0.0114,182,DRD,Shan (South),16,KyiThe,160211,Par Lain,16021122006,14,14,165,Kyaing Lin,16021122,230,2787
Hpy Mai,97.8394304,21.9519159,Taunggyi,1601,19,6.05,5.46,1,290,320,,0.0066,0.0114,320,DRD,Shan (South),16,KyiThe,160211,Hpy Mai,16021107007,20,20,290,Mine Nin,16021107,213,2177
Hpathkon,97.8194673,23.2696352,Lashio,1501,20,6.98,5.59,1.14,120,132,,0.0066,0.0114,132,DRD,Shan (North),15,Theinni,150102,Hpathkon,15010213008,23,18,120,Man-long,15010213,383,2150
Kunkaw,97.0756026,22.6637094,Kyaukme,1503,20,6.98,5.59,1.14,342,377,,0.0066,0.0114,377,DRD,Shan (North),15,Kyaukme,150306,Kunkaw,15030535001,,52,342,Mawmar,,319,2491
Be Lan,96.8550428,19.5444916,Taunggyi,1601,19,6.05,5.46,1,45,50,,0.0066,0.0114,50,DRD,Shan (South),16,phekhon,160103,Be Lan,16010304018,9,9,45,Alai Ka Yan,16010304,674,4334
In Kyi,96.4763733,21.0757696,Taunggyi,1601,19,6.05,5.46,1,99,109,,0.0066,0.0114,109,DRD,Shan (South),16,YwaNgan,160109,In Kyi,16010911007,22,22,99,Nyaung Ai,16010911,525,2754
Kanhtan,97.9063632,23.4583406,Mu Se,1502,20,6.98,5.59,1.14,184,203,,0.0066,0.0114,203,DRD,Shan (North),15,Kaut Khine,150215,Kanhtan,15021504005,24,24,184,Manjet,15021504,265,1882
Tharminekan,96.6864967,20.6865491,Taunggyi,1601,19,6.05,5.46,1,388,428,,0.0066,0.0114,428,DRD,Shan (South),16,Kalaw,160102,Tharminekan,16010216001,81,81,388,Tharminekan,16010216,446,2124
Kong-kao,97.86889,22.7928749,Lashio,1501,20,6.98,5.59,1.14,120,132,,0.0066,0.0114,132,DRD,Shan (North),15,Lashio,150101,Kong-kao,15010123002,21,0,120,Man-se,,113,584
Nawnpenglay,97.0473256,22.5051811,Kyaukme,1503,20,6.98,5.59,1.14,427,471,,0.0066,0.0114,471,DRD,Shan (North),15,Kyaukme,150306,Nawnpenglay,15030502002,,34,427,Namhutaung,,358,2882
Hwehe,99.6132833,21.1500458,kyaington,1701,20,5.44,5.2,1.14,76,84,,0.0066,0.0114,84,DRD,Shan (East),17,kyaington,170101,Hwehe,17010118004,11,11,76,Mongkhon,17010118,838,3800
Naung Long,97.0877847,22.137566,Taunggyi,1601,19,6.05,5.46,1,1112,1227,,0.0066,0.0114,1227,DRD,Shan (South),16,Inn Taw,160113,Naung Long,16011303001,198,180,1112,Naung Long,16011303,802,5150
Ma Chi Nu,98.1109618,22.2764169,Lashio,1501,20,6.98,5.59,1.14,174,192,,0.0066,0.0114,192,DRD,Shan (North),15,Mongyai,150104,Ma Chi Nu,15010418003,,36,174,Mong Kawng,15010418,152,902
Ta Pin Pyaw,96.5246738,21.2910826,Taunggyi,1601,19,6.05,5.46,1,303,334,,0.0066,0.0114,334,DRD,Shan (South),16,YwaNgan,160109,Ta Pin Pyaw,16010903002,57,57,303,Ta Pin Pyaw,16010903,155,860
Hpar Woung,97.8278066,21.3694274,Taunggyi,1601,19,6.05,5.46,1,387,427,,0.0066,0.0114,427,DRD,Shan (South),16,Lae Char,160206,Hpar Woung,16020610005,54,52,387,Wam Hte,16020610,330,2381
Nawnghi,98.7031922,23.4207034,Kunlong,1504,20,6.98,5.59,1.14,161,178,,0.0066,0.0114,178,DRD,Shan (North),15,Ho Pan,150417,Nawnghi,15041701003,,33,161,Mo_hwe,15041701,,
Kong Poung,98.2670725,21.8456528,Loi Lem,1602,19,6.05,5.46,1,136,150,,0.0066,0.0114,150,DRD,Shan (South),16,Mai Shue,160208,Kong Poung,16020810008,21,21,136,Wam Saw,16020810,648,4463
Na Mawng,97.826011,22.5517347,Lashio,1501,20,6.98,5.59,1.14,50,55,,0.0066,0.0114,55,DRD,Shan (North),15,Mongyai,150104,Na Mawng,15010407006,,8,50,Nam hu tai shin,15010407,188,1114
Nam onma,96.4487148,23.0721572,Kyaukme,1503,20,6.98,5.59,1.14,1041,1149,,0.0066,0.0114,1149,DRD,Shan (North),15,Momeik,150310,Nam onma,15031007002,,223,1041,Nampaut,15031007,314,14423
Par Kaw,98.0470003,21.7942849,Taunggyi,1601,19,6.05,5.46,1,71,78,,0.0066,0.0114,78,DRD,Shan (South),16,KyiThe,160211,Par Kaw,16021115005,5,5,71,Wam Suck,16021115,243,2530
Lan Kaw (Haung),96.7544415,19.6607921,Taunggyi,1601,19,6.05,5.46,1,128,141,,0.0066,0.0114,141,DRD,Shan (South),16,phekhon,160103,Lan Kaw (Haung),16010312016,20,20,128,Ye Nwe,16010312,1533,9855
hsain gon,97.5065174,20.2911053,Loilem,1602,19,6.05,5.46,1,256,283,,0.0066,0.0114,283,DRD,Shan (South),16,Maukmal,160204,hsain gon,16020406002,52,52,256,ho nam,16020406,586,3203
Wanha,100.182417,20.7470511,Tachileik,1704,20,5.44,5.2,1.14,86,95,,0.0066,0.0114,95,DRD,Shan (East),17,Tarlay,170414,Wanha,17041403006,18,19,86,Monglin(east),17041403,469,2389
Okshikon,96.264567,23.533318,Pyinoolwin,101,19,5.71,5.27,1,426,507,,0.0117,0.012,507,DRD,Mandalay,1,Thabeikyin,10104,Okshikon,1010401404,102,93,426, ,10104014,345,1706
Naungtaung,99.6398831,21.3738039,kyaington,1701,20,5.44,5.2,1.14,202,223,,0.0066,0.0114,223,DRD,Shan (East),17,kyaington,170101,Naungtaung,17010108013,35,35,202,Ketpha,17010108,1401,6521
Hai-moss,99.5555145,21.3345079,kyaington,1701,20,5.44,5.2,1.14,213,235,,0.0066,0.0114,235,DRD,Shan (East),17,kyaington,170101,Hai-moss,17010104010,42,42,213,Kattyeik,17010104,1233,6699
Maw-htwe,99.9932637,20.5759944,Tachileik,1704,20,5.44,5.2,1.14,350,386,,0.0066,0.0114,386,DRD,Shan (East),17,Tachileik,170413,Maw-htwe,17041305002,82,80,350,Mong-ko,17041305,1095,5361
Wankho,100.401036,21.0786505,Mongpyek,1703,20,5.44,5.2,1.14,48,53,,0.0066,0.0114,53,DRD,Shan (East),17,Mongyaung,170311,Wankho,17031109004,20,22,48,Wanin,17031109,177,442
Man Hsi-hkap,98.7013567,23.381166,Kum Lone,1504,20,6.98,5.59,1.14,46,51,,0.0066,0.0114,51,DRD,Shan (North),15,Kum Lone,150416,Man Hsi-hkap,15041620007,,10,46,Manpyaine,,217,1851
Hopang,98.750278,23.425556,,,20,6.98,5.59,1.14,36730,40533,,0.0066,0.0114,40533,DRD,Shan (North),15,,,,,,,,,,,
Nar-nawt,97.9974442,23.0677045,Lashio,1501,20,6.98,5.59,1.14,230,254,,0.0066,0.0114,254,DRD,Shan (North),15,Lashio,150101,Nar-nawt,15010154007,10,0,230,Mong Kang,,205,2133
Pongsan,98.2042015,20.2225875,Loi Lem,1602,19,6.05,5.46,1,85,94,,0.0066,0.0114,94,DRD,Shan (South),16,Maing Pan,160209,Pongsan,16020911002,11,12,85,Namon,16020911,101,684
Ho-nam,97.9209328,23.0567986,Lashio,1501,20,6.98,5.59,1.14,447,493,,0.0066,0.0114,493,DRD,Shan (North),15,Lashio,150101,Ho-nam,15010109001,170,0,447,Ho-nam,,396,1777
Pongtong,98.452614,23.128467,Lashio,1501,20,6.98,5.59,1.14,130,143,,0.0066,0.0114,143,DRD,Shan (North),15,Lashio,150101,Pongtong,15010161007,85,0,130,Holin,,445,1714
Ho Tawng,97.8902617,22.5263587,Lashio,1501,20,6.98,5.59,1.14,232,256,,0.0066,0.0114,256,DRD,Shan (North),15,Mongyai,150104,Ho Tawng,15010403007,,48,232,Ho Ya,15010403,304,1652
Kyauk Saung Hpu Law,96.7473867,19.5429036,Taunggyi,1601,19,6.05,5.46,1,105,116,,0.0066,0.0114,116,DRD,Shan (South),16,phekhon,160103,Kyauk Saung Hpu Law,16010308006,18,18,105,The Kyake,16010308,478,2780
