Name,Lat,Lon,pop,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,target_hou,full_popul,500mBufYN,450mBufYN,475mBufYN,400mBufYN,425mBufYN,350mBufYN,375mBufYN,newpop
8.20109E+11,0.891891,127.534713,129.717315,3.815217391,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.369565,351,1,1,1,1,1,1,1,0
8.20109E+11,0.892166,127.509687,95.614452,4.157142857,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.054762,1746,1,1,1,1,1,1,1,0
8.20109E+11,0.887563,127.498449,42.442694,4.004878049,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.050407,842,,,,,,,,842
8.20109E+11,0.887395,127.502042,81.709747,4.004878049,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.050407,1621,1,1,1,1,1,1,1,0
8.20109E+11,0.923273,127.512206,2.152188,5.086956522,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.059783,36,,,,,,,,36
8.20109E+11,0.902195,127.522782,16.500108,5.086956522,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.059783,276,1,1,1,1,1,1,1,0
8.20109E+11,0.893446,127.509263,37.304592,5.086956522,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.059783,624,1,1,1,1,1,1,1,0
8.20109E+11,0.951149,127.511314,1.40411,3.691780822,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.280822,5,1,1,1,1,1,1,1,0
8.20109E+11,0.950073,127.514728,70.486322,3.691780822,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.280822,251,1,1,1,1,1,1,1,0
8.20109E+11,0.925819,127.511488,79.753448,3.691780822,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.280822,284,,,,,,,,284
8.20109E+11,0.953481,127.513641,24.95052,6.02970297,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.059406,420,1,1,1,1,1,1,1,0
8.20109E+11,0.951654,127.511203,11.227734,6.02970297,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.059406,189,1,1,1,1,1,1,1,0
8.20109E+11,0.783823,127.644459,176.961204,4.316129032,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.264516,669,,,,,,,,669
