lon,lat,State,State_Code,District,District_C,Township,Township_C,VillageTra,VT_Code,VT_HH,VT_Pop,Village,Village_Co,Village_HH,Village_Fa,Village_Po,Pop_2001,Pop_2013,Name,Longitude,Latitude,Population,Pop_2011,pop_g_u,pop_g_r,ho_size_u,ho_size_r,mg_fl_cl,gr_ml_cm,Source
95.559522,16.360797,Ayeyarwady,0,Phyapon,0,Bogale,0,Lindaing,0,392,1965,Lindaing,0,62,79,344,344,,Lindaing,95.559522,16.360797,397,397,0.0063,0.0096,5.17,5.43,1,19,DRD
95.534994,16.332753,Ayeyarwady,0,Phyapon,0,Bogale,0,Lindaing,0,392,1965,Sayayo,0,32,28,175,175,,Sayayo,95.534994,16.332753,202,202,0.0063,0.0096,5.17,5.43,1,19,DRD
95.534077,16.356365,Ayeyarwady,0,Phyapon,0,Bogale,0,Lindaing,0,392,1965,Ywadanshe,0,83,47,361,361,,Ywadanshe,95.534077,16.356365,417,417,0.0063,0.0096,5.17,5.43,1,19,DRD
95.526588,16.338561,Ayeyarwady,0,Phyapon,0,Bogale,0,Lindaing,0,392,1965,Kulanashe,0,81,70,376,376,,Kulanashe,95.526588,16.338561,434,434,0.0063,0.0096,5.17,5.43,1,19,DRD
95.54401,16.368362,Ayeyarwady,0,Phyapon,0,Bogale,0,Lindaing,0,392,1965,Sanginzu,0,62,42,302,302,,Sanginzu,95.54401,16.368362,349,349,0.0063,0.0096,5.17,5.43,1,19,DRD
95.555167,16.346813,Ayeyarwady,0,Phyapon,0,Bogale,0,Lindaing,0,392,1965,Le_eindan,0,42,43,276,276,,Le_eindan,95.555167,16.346813,319,319,0.0063,0.0096,5.17,5.43,1,19,DRD
95.56319,16.367827,Ayeyarwady,0,Phyapon,0,Bogale,0,Lindaing,0,392,1965,Wedaung,0,30,24,131,131,,Wedaung,95.56319,16.367827,151,151,0.0063,0.0096,5.17,5.43,1,19,DRD
95.533313,16.369203,Ayeyarwady,0,Phyapon,0,Bogale,0,Kanzu_ashe,0,305,1466,Kanzu_ashe,0,59,60,279,279,,Kanzu_ashe,95.533313,16.369203,322,322,0.0063,0.0096,5.17,5.43,1,19,DRD
95.541107,16.380512,Ayeyarwady,0,Phyapon,0,Bogale,0,Kanzu_ashe,0,305,1466,Kyaungzu,0,27,28,114,114,,Kyaungzu,95.541107,16.380512,132,132,0.0063,0.0096,5.17,5.43,1,19,DRD
95.541794,16.371648,Ayeyarwady,0,Phyapon,0,Bogale,0,Kanzu_ashe,0,305,1466,Mayan,0,77,44,368,368,,Mayan,95.541794,16.371648,425,425,0.0063,0.0096,5.17,5.43,1,19,DRD
95.549589,16.379901,Ayeyarwady,0,Phyapon,0,Bogale,0,Kanzu_ashe,0,305,1466,Pawdawmu,0,43,45,225,225,,Pawdawmu,95.549589,16.379901,260,260,0.0063,0.0096,5.17,5.43,1,19,DRD
95.539349,16.387389,Ayeyarwady,0,Phyapon,0,Bogale,0,Kanzu_ashe,0,305,1466,Bogon,0,69,63,366,366,,Bogon,95.539349,16.387389,423,423,0.0063,0.0096,5.17,5.43,1,19,DRD
95.533771,16.380436,Ayeyarwady,0,Phyapon,0,Bogale,0,Kanzu_ashe,0,305,1466,Kwetthit,0,30,22,114,114,,Kwetthit,95.533771,16.380436,132,132,0.0063,0.0096,5.17,5.43,1,19,DRD
95.566018,16.39419,Ayeyarwady,0,Phyapon,0,Bogale,0,Yokesaing,0,203,1113,Yokesaing,0,118,120,633,633,,Yokesaing,95.566018,16.39419,731,731,0.0063,0.0096,5.17,5.43,1,19,DRD
95.550634,16.391407,Ayeyarwady,0,Phyapon,0,Bogale,0,Yokesaing,0,203,1113,Payagyigyaung,0,24,20,125,125,,Payagyigyaung,95.550634,16.391407,144,144,0.0063,0.0096,5.17,5.43,1,19,DRD
95.550811,16.380053,Ayeyarwady,0,Phyapon,0,Bogale,0,Yokesaing,0,203,1113,Pawdawmu,0,61,58,355,355,,Pawdawmu,95.550811,16.380053,410,410,0.0063,0.0096,5.17,5.43,1,19,DRD
95.571672,16.369508,Ayeyarwady,0,Phyapon,0,Bogale,0,Kangyi,0,221,1228,Kangyi,0,176,160,871,871,,Kangyi,95.571672,16.369508,1006,1006,0.0063,0.0096,5.17,5.43,1,19,DRD
95.564871,16.36905,Ayeyarwady,0,Phyapon,0,Bogale,0,Kangyi,0,221,1228,Atatlindaing,0,28,31,236,236,,Atatlindaing,95.564871,16.36905,273,273,0.0063,0.0096,5.17,5.43,1,19,DRD
95.586497,16.37417,Ayeyarwady,0,Phyapon,0,Bogale,0,Kangyi,0,221,1228,Thitphyugyaung,0,17,60,121,121,,Thitphyugyaung,95.586497,16.37417,140,140,0.0063,0.0096,5.17,5.43,1,19,DRD
95.588789,16.38418,Ayeyarwady,0,Phyapon,0,Bogale,0,Mayet_ywathit,0,504,2320,Mayet_ywathit,0,179,151,861,861,,Mayet_ywathit,95.588789,16.38418,994,994,0.0063,0.0096,5.17,5.43,1,19,DRD
95.601244,16.371266,Ayeyarwady,0,Phyapon,0,Bogale,0,Mayet_ywathit,0,504,2320,Mayetwa,0,131,124,576,576,,Mayetwa,95.601244,16.371266,665,665,0.0063,0.0096,5.17,5.43,1,19,DRD
95.586497,16.375698,Ayeyarwady,0,Phyapon,0,Bogale,0,Mayet_ywathit,0,504,2320,Thitphyugyaung,0,89,89,348,348,,Thitphyugyaung,95.586497,16.375698,402,402,0.0063,0.0096,5.17,5.43,1,19,DRD
95.588178,16.389682,Ayeyarwady,0,Phyapon,0,Bogale,0,Mayet_ywathit,0,504,2320,Shwebozu,0,105,106,535,535,,Shwebozu,95.588178,16.389682,618,618,0.0063,0.0096,5.17,5.43,1,19,DRD
